h,a,y,relative_error
1.5,7.72493e0,0.03340360063442903300224702048994270487998412185036607049741637681794931060554417595765828177013149292099398191412607324362691062094055577725888080649812,1.00253e-32
1.5,8.22786e0,0.03340360063442903300224702048994303972797540380253550665456477971513767028977471462428765499611328067535824442387297223836365121132166812637318339051029,1.00205e-36
1.5,8.70280e0,0.03340360063442903300224702048994303976144424755919511525746892994819695102836548555738438573604418685962924256104326199730027197524655415066335572095035,1.00147e-40
1.75,3.05594e0,0.02002957823139461859123161450436710478276829746318892482419692493251975778655365798782068237913038195959882480190910627966514554106453714271211331054911,1.00109e-8
1.75,3.86496e0,0.02002957843188851225750891317157860126080935109549414282589594653717549360226220601407720758485628468097403606140622927307349105635187580103881841783041,1.00017e-12
1.75,4.54492e0,0.02002957843190854320533554141969747703650236833101681717900009327790384575029831003025439507257534548616363062861791809112430888919669530847984415919663,1.00054e-16
1.75,5.14216e0,0.02002957843190854520917825858255460608021869330739266506432331860116874600037838978034285030036434357309371844586765799017616670232327930651458666137147,1.00060e-20
1.75,5.68066e0,0.02002957843190854520937865490568915107976742544047122531574425614986260160508452294128698514469117358160590966221638497283413268950486707962659266100345,1.00038e-24
1.75,6.17467e0,0.02002957843190854520937867494081483579931896744593404949480045221467392049427712012973440131346987399592604555239598150204929765956722510002462197858255,1.00158e-28
1.75,6.63365e0,0.02002957843190854520937867494282075488152521456402231024966200432574448153373337014561922591179891893733863037858238359524348201934535801154937873512405,1.00145e-32
1.75,7.06403e0,0.02002957843190854520937867494282095544858435407066139219951805723673904698573079831657822517122977054971399399581159171982105703600672879723428719636757,1.00114e-36
1.75,7.47042e0,0.02002957843190854520937867494282095546863467436696244388207549014305399449694070514078731315768601848259844768625866410497719361673334752344140647400263,1.00314e-40
2,2.69128e0,0.01137506586021182206149706674700773005878823969439351589320673233224322726594098715830831839927342626486947495706693995082230076554556590292367862660518,1.00112e-8
2,3.39661e0,0.01137506597407822601817022098964594136650994524580535439705151468457971459350608580567649389645624623809040527275534407481392340687132291393452752947201,1.00022e-12
2,3.98987e0,0.01137506597408960246246179026762833268513363836870784321650469084614176603393166944482686003822326877660494734710576692813103943928611900551699746946729,1.00015e-16
2,4.51111e0,0.01137506597408960360002736946613698230511795683587459223084223116073589632137588990883657568026947144993032374651232152026132830211842162354180779341077,1.00174e-20
2,4.98132e0,0.01137506597408960360014130718599269750125701644290787435482176115767633623060739923963170553877389752769387369762924021151642070075903015129928737544112,1.00195e-24
2,5.41284e0,0.01137506597408960360014131858212624527068201794490307061307316689093610763213741086153185630211700698223637447614491155775566363675848454583707458823857,1.00261e-28
2,5.81384e0,0.01137506597408960360014131858326660473123372676061895550391537223457269093104868530192523071645189509470736583666742470372942778297054877322002437902692,1.00223e-32
2,6.18994e0,0.01137506597408960360014131858326671872450046635832061113967184028052134788859963178538867624505136977815912281001875020529968420405151485975522447209558,1.00111e-36
2,6.54517e0,0.01137506597408960360014131858326671873588697319976699794714869438514985637249653138631093599613105254620511494953969908213021380486780660527530777725735,1.00101e-40
2.25,2.40571e0,0.006112236266347620667332470940612479673696338901997572198505255904555018009574607454923979455546128629016003132252278983997089646451411188961246633592825,1.00086e-8
2.25,3.03071e0,0.006112236327516231782895667178055374117865657542757295260922944244162792579872466117800299049261567337583838987003824475898294784070752307544816482844673,1.00124e-12
2.25,3.55675e0,0.006112236327522350964299295684740113985566527460476068525929098445909188750622038512454926602316183169384069840713207921506214501629844343208898679097959,1.00129e-16
2.25,4.01921e0,0.006112236327522351576250775894248350848715418582627775297369253963058582325894094455423639456519732195208866661463713510468990742125437363395751280812348,1.00110e-20
2.25,4.43641e0,0.006112236327522351576311959527154808923221974374595241595313534164659328038972852792943780917668049952869579870232378193694842117054090255331607710620575,1.00171e-24
2.25,4.81944e0,0.006112236327522351576311965649258823341974581123896587669788630073309675059590594185417158477516396113735318163732967357570687753913099149218189468799616,1.00114e-28
2.25,5.17535e0,0.006112236327522351576311965649870685005377345426088549987961631932967074019890995776025668012620749336480480057711568623748471509005694567816518616685614,1.00220e-32
2.25,5.50922e0,0.006112236327522351576311965649870746255959031451473040992052917262711301366813371952819758978034635747835366342254928463546451473488418211959324946649906,1.00182e-36
2.25,5.82465e0,0.006112236327522351576311965649870746262081779729273521627670159203678191958327780338138609250473227160558264707020012266668845037356614745868665638042368,1.00107e-40
2.5,2.17578e0,0.003104832631817393464733777207479887867217579506415198782826833336058379630854361826309130983506534655968584745379629307469034107971109078950323145109064,1.00072e-8
2.5,2.73691e0,0.003104832662884960575902837848388250763011454384432361187419488943210598564872044566824871600316889818294497900870948689368916539670205554607968236297211,1.00070e-12
2.5,3.20938e0,0.003104832662888067272931372936094550125752304952718809120544191820107037394873150003248483090095195205579487374641824520698970292087705135645415706629386,1.00024e-16
2.5,3.62480e0,0.003104832662888067583457980172055602891253699659986939481795174136003511795994990093647299385589671693118686252294108181632063817907639615120401191214724,1.00077e-20
2.5,3.99971e0,0.003104832662888067583489049177626020041136542496193690791043396156229813608637547988063556233903567858026867266437771737578766190586819549636162497948274,1.00149e-24
2.5,4.34395e0,0.003104832662888067583489052286785160207998959244486961236623018653938714753235086868076842086537567634266089938949538003945851830001148370328766918580195,1.00150e-28
2.5,4.66387e0,0.003104832662888067583489052287096079430447171972983091253420597321569625082931650968789869527893296784804779391885705281178676824632027078046716057636936,1.00274e-32
2.5,4.96406e0,0.00310483266288806758348905228709611056083972420034706199390864628297728403372000407334593696542470800390720237198032291464628351383676736099526944845078,1.00139e-36
2.5,5.24766e0,0.003104832662888067583489052287096110563948562635424883670499919325093073042544723925526333190090723794787788743017293504352172783412566890846104206830211,1.00110e-40
2.75,1.98651e0,0.001489881602608005180578998376847266450777192938847510512900263293120692346598314434769923302913718272968004951869043251343135859569591321514337643362787,1.00137e-8
2.75,2.49565e0,0.001489881617525788150799370168884267933648225400291223829351441369800634150817081901937599594154259402308317207128378153827448261709571374776649618524868,1.00023e-12
2.75,2.92436e0,0.001489881617527278228114080695614851604019730291440913883824944604719998228620468488144001605897703607139844518385447241567254274175951776046141128210826,1.00030e-16
