h,a,T
0.0009765625,18.25,0.24128650844770614737935870309115016926692408953697262982519071660461464914
0.0009765625,18.5,0.24140399033597765346514022321890128272073120662721870011990044759377511832
0.0009765625,18.75,0.24151834787626101655498389219264548923925296891289802198922016608586472448
0.0009765625,19,0.24162970393459901816313193141927180064847047424946393250483308745958486466
0.0009765625,19.25,0.24173817502379705316571002549749170917949938642797119388661713396123286302
0.0009765625,19.5,0.24184387170847113210139353117344035257468208811544416249268700956439790616
0.0009765625,19.75,0.24194689897952410781266739757808625628334978218189106879832274606266852598
0.0009765625,20,0.24204735660070646703364225643020012658141091507996349077388822207977441128
0.0009765625,20.25,0.24214533942965770065786345610303171444920067327677816469730731537268686597
0.0009765625,20.5,0.24224093771559227059044109269716650095628550823626062599957099965258970342
0.0009765625,20.75,0.24233423737558714415432901917155681395062341643644420065615485368889861605
0.0009765625,21,0.24242532025124282537840062268398044718466278173354237914321760557746877988
0.0009765625,21.25,0.24251426434732420982662612798669902985273748446814474050513450524501272127
0.0009765625,21.5,0.24260114405383918479321544450954585234019464836045398287270719143121874089
0.0009765625,21.75,0.2426860303528797293226023364053690883436428704590526478249736467256622905
0.0009765625,22,0.24276899101143062111066692454970484974631956020796523626454974087077455323
0.0009765625,22.25,0.242850090761243222826833526171400501090301512917189929300621740494011512
0.0009765625,22.5,0.24292939146677487431906658907700398386665118243899380775183974129715963673
0.0009765625,22.75,0.24300695228210699384563145784809757662279195166541350696434996458352666951
0.0009765625,23,0.24308282979767606348122235332771296367296218085811049615477990691748558578
0.0009765625,23.25,0.24315707817758033429244851416143842099836980585752517913007786894425459257
0.0009765625,23.5,0.24322974928816053418993153249868712687662601287330333256639201569165917385
0.0009765625,23.75,0.24330089281849438607156133397084310642929247343395733150868358796329566642
0.0009765625,24,0.24337055639339171719280943483078129966037264794833339704121887871017542287
0.0009765625,24.25,0.24343878567942880464052968006194604854218762117269041014789306561121644898
0.0009765625,24.5,0.24350562448451686053737394323586151058055524093221582640576665985805427665
0.0009765625,24.75,0.24357111485145977306140307175397952746157516657248916017377697134622590234
0.0009765625,25,0.24363529714591999261617472638211055501832516181615109738664212313436683048
0.0009765625,25.25,0.24369821013917843612323600310045608728891595957999460896855101633252780197
0.0009765625,25.5,0.24375989108604416356550343583584885374304668012641558490508622272562040653
0.0009765625,25.75,0.24382037579824207991864254303875857282344025260040854333064439829074876524
0.0009765625,26,0.24387969871358178219440088418962369233314477117636693614912002953219436149
0.0009765625,26.25,0.24393789296118768126833507478913325055784116809746843289361762001481158836
0.0009765625,26.5,0.24399499042304948038483622534045660721452926608329251459740781537948218653
0.0009765625,26.75,0.24405102179213280618516498464251602426556608190681976137570623703243194012
0.0009765625,27,0.24410601662727210153092630950221436374121318199976489207105715907527106353
0.0009765625,27.25,0.24416000340505165631875544871152908096856998498878363855249238533224792183
0.0009765625,27.5,0.24421300956886574144054047643927945264611936393408361807434321812945952889
0.0009765625,27.75,0.24426506157533510353187838773863849679413941783483402405303243957624490718
0.0009765625,28,0.24431618493824446724030612671509633536644731937661850330648837062991549256
0.0009765625,28.25,0.24436640427015408085866483338842404272472449040759287260872548249870471584
0.0009765625,28.5,0.24441574332182764300240137214463758399730633561026938702483270031040641247
0.0009765625,28.75,0.24446422501960908356557307675932785010794383302328625393318085810487834541
0.0009765625,29,0.24451187150087156992515400939926628600481343619163144381324911058300339661
0.0009765625,29.25,0.24455870414765370442642133480890568091718101711075153518117233291017065388
0.0009765625,29.5,0.2446047436185901127392716526699827375291078181486186325994096574052604193
0.0009765625,29.75,0.24465000987923644130437803995652717869060597608338794364556974397077751451
0.0009765625,30,0.24469452223088213724131213564326008907507657190102484532456448139585041798
0.0009765625,30.25,0.24473829933793823161339738470862085440894905126745204669486994364360649067
0.0009765625,30.5,0.2447813592539816466445407319363421476069489937662222011673673151431570233
0.0009765625,30.75,0.24482371944653226274838633304795068502195707820926751915878216648648294804
0.0009765625,31,0.24486539682063407868034568363429432623162481771575058683960877468574590379
0.0009765625,31.25,0.24490640774130724730362673028755962192495396549017074829847625304692977932
0.0009765625,31.5,0.24494676805493354256403518390116811290648912514899327839952017199115888699
0.0009765625,31.75,0.2449864931096338848862424015792909832006613689406704537969321005604040107
0.0009765625,32,0.24502559777469289910220573956742985931513019977572183533222252699393293669
0.0009765625,64,0.2475085509187174295254553165054044276795578553856293699259411913627871506
0.0009765625,128,0.24874692588742027394857048714604944852334021864708362780366367905365076039
0.0009765625,256,0.24935897663567873308695212351102670312515844543234664229442356706035373282
0.0009765625,512,0.2496510844281737778825662577636613340695912324687577144416346204315889907
0.0009765625,1024,0.24977274498402853738392875017205278866326555000871127168380671117942774409
0.0009765625,2048,0.24980355004150133875453158730957193129926516060900910605519458617313028507
0.0009765625,4096,0.24980520329967609199045493968462579995812681536154579059138896992683742072
0.0009765625,8192,0.24980520399560972949293522188749851212834559431126987243465657200428074693
0.0009765625,16384,0.24980520399560972949661212304026508288833139943101015014148702997599064914
0.0009765625,32768,0.24980520399560972949661212304026508288833139943101015014148703094080732864
0.0009765625,65536,0.24980520399560972949661212304026508288833139943101015014148703094080732864
0.001953125,8.636168555094445E-78,1.3744862932910197973572139969949010293176024659685761580250970789638368925e-78
0.001953125,1.3817869688151111E-76,2.1991780692656316757715423951918416469081639455497218528401553263421390281e-77
0.001953125,2.210859150104178E-75,3.5186849108250106812344678323069466350530623128795549645442485221474224449e-76
0.001953125,3.5373746401666845E-74,5.6298958573200170899751485316911146160848997006072879432707976354358759118e-75
0.001953125,5.659799424266695E-73,9.007833371712027343960237650705783385735839520971660709233276216697401459e-74
0.001953125,9.055679078826712E-72,1.4412533394739243750336380241129253417177343233554657134773241946715842334e-72
0.001953125,1.448908652612274E-70,2.3060053431582790000538208385806805467483749173687451415637187114745347735e-71
